name,samples,sample_size,iters,field,threshold,type,exact_match_quantile_0.025,exact_match_quantile_0.975,exact_match_mean,f1_quantile_0.025,f1_quantile_0.975,f1_mean,len_lower,len_higher
lower_than_2_for_field_distances,200,1000,5,distances,2,lower,81.0975,85.10249999999999,83.24399999999994,88.74874340201039,91.30325402149343,90.17090289859776,4031,5368
higher_than_2_for_field_distances,200,1000,5,distances,2,higher,75.39250000000001,79.8025,77.498,84.13188069348897,87.03117694856265,85.67984703593757,4031,5368
lower_than_2_for_field_distances,200,1000,5,distances,2,lower,81.2975,85.0,83.26200000000004,88.72591910619649,91.27781187856306,90.18392654694622,4031,5368
higher_than_2_for_field_distances,200,1000,5,distances,2,higher,74.7975,79.505,77.44049999999994,83.86886892835301,87.38741535596922,85.70337557872381,4031,5368
lower_than_2_for_field_distances,200,1000,5,distances,2,lower,81.095,85.3,83.2755,88.8091856059781,91.61835200258923,90.20775769111256,4031,5368
higher_than_2_for_field_distances,200,1000,5,distances,2,higher,75.2975,79.715,77.638,84.17383857809675,87.38998377991675,85.89287258894007,4031,5368
lower_than_2_for_field_distances,200,1000,5,distances,2,lower,81.2925,85.1,83.29249999999998,88.73968631442173,91.49522302326903,90.24704330197501,4031,5368
higher_than_2_for_field_distances,200,1000,5,distances,2,higher,75.39750000000001,80.0025,77.5765,84.11817530179869,87.68573872637133,85.79961565517837,4031,5368
lower_than_2_for_field_distances,200,1000,5,distances,2,lower,81.6,85.5,83.49349999999998,88.8960958927647,91.5758937629997,90.28856064641617,4031,5368
higher_than_2_for_field_distances,200,1000,5,distances,2,higher,75.2,80.10499999999999,77.5225,84.09281530384149,87.50717471454811,85.72530672880254,4031,5368
lower_than_3_for_field_distances,200,1000,5,distances,3,lower,81.295,85.6,83.487,88.58930770925339,91.76519232270279,90.31970795432478,5223,4176
higher_than_3_for_field_distances,200,1000,5,distances,3,higher,73.6975,78.2025,75.86999999999999,82.78262065734026,86.01028430895404,84.43306501566055,5223,4176
lower_than_3_for_field_distances,200,1000,5,distances,3,lower,81.3,85.6,83.46700000000003,88.76068121622237,91.56112555662621,90.3119062187072,5223,4176
higher_than_3_for_field_distances,200,1000,5,distances,3,higher,73.6,78.10499999999999,75.83049999999999,82.7359733987814,86.2059700348509,84.3990343483346,5223,4176
lower_than_3_for_field_distances,200,1000,5,distances,3,lower,81.1975,85.4025,83.51900000000005,88.97432243524392,91.50955142929875,90.34050955244476,5223,4176
higher_than_3_for_field_distances,200,1000,5,distances,3,higher,73.7975,78.1075,75.75999999999999,82.82690212815463,86.20731466503854,84.36821556109479,5223,4176
lower_than_3_for_field_distances,200,1000,5,distances,3,lower,81.6975,85.5,83.4755,88.71019496822241,91.52096707781918,90.31990945084131,5223,4176
higher_than_3_for_field_distances,200,1000,5,distances,3,higher,73.6,78.10249999999999,75.8255,82.65403706994964,86.03515212324211,84.37686243666278,5223,4176
